,UPC,Banner,Kansas,New York,Northern California,Texas,Average_Price,Std
0,268588472,No Store,24.49,24.49,24.49,24.49,24.49,0.0
1,268588472,Safeway,23.59,23.689999999999998,23.689999999999998,23.79,23.689999999999998,0.0707106781186545
2,268588472,Trader Joes,22.939999999999998,23.29,22.939999999999998,22.59,22.939999999999998,0.24748737341529137
3,268588472,Walmart,23.54,22.13,24.95,23.54,23.54,0.9970205614730321
4,268588472,Wegmans,23.439999999999998,23.79,23.439999999999998,23.09,23.439999999999998,0.24748737341529137
5,268588472,Whole Foods,1.99,25.99,29.29,19.09,19.09,10.536365597301566
6,475245085,Safeway,51.290000000000006,55.09,51.290000000000006,47.49,51.29,2.687005768508881
7,475245085,Trader Joes,45.790000000000006,46.49,45.790000000000006,45.09,45.790000000000006,0.49497474683058273
8,475245085,Walmart,42.41,44.12,49.71,45.413333333333334,45.413333333333334,2.699725294667344
9,475245085,Wegmans,45.59,47.49,46.39000000000001,46.09,46.39000000000001,0.6964194138592054
10,475245085,Whole Foods,1.99,51.79,26.89,26.89,26.89,17.606958851545034
11,126967843,Safeway,24.29,28.39,25.723333333333333,24.49,25.723333333333333,1.6345233759927293
12,126967843,Trader Joes,23.09,24.49,27.09,23.29,24.49,1.593737745050923
13,126967843,Walmart,21.9,22.83,25.75,22.1,23.145,1.5433162346065048
14,126967843,Wegmans,24.14,24.49,24.14,23.79,24.139999999999997,0.24748737341529137
15,126967843,Whole Foods,25.89,25.89,25.89,25.89,25.89,0.0
16,708930835,No Store,20.19,20.19,20.19,20.19,20.19,0.0
17,708930835,Safeway,17.69,17.79,17.79,17.89,17.79,0.0707106781186545
18,708930835,Trader Joes,16.99,16.99,16.99,16.99,16.99,0.0
19,708930835,Walmart,16.02,16.66,18.81,17.16333333333333,17.16333333333333,1.033448918266726
20,708930835,Wegmans,17.64,17.89,17.64,17.39,17.64,0.1767766952966369
21,708930835,Whole Foods,1.99,19.49,13.456666666666665,18.89,13.456666666666667,7.025074139585052
22,325885139,Safeway,31.79,31.79,31.79,31.79,31.79,0.0
23,325885139,Trader Joes,32.123333333333335,31.09,35.09,30.19,32.123333333333335,1.8443607745413235
24,325885139,Walmart,31.045,31.045,33.32,28.77,31.044999999999998,1.608667927199396
25,325885139,Wegmans,31.34,31.79,31.34,30.89,31.340000000000003,0.31819805153394587
26,325885139,Whole Foods,1.99,34.69,23.456666666666667,33.69,23.456666666666667,13.150348537839848
27,509419735,No Store,41.54,39.69,43.39,41.54,41.54,1.308147545195114
28,509419735,Safeway,38.19,44.79,41.489999999999995,41.489999999999995,41.489999999999995,2.333452377915607
29,509419735,Trader Joes,39.64,39.64,42.59,36.69,39.64,2.0859650045003173
30,509419735,Walmart,34.43,35.82,40.43,34.8,36.37,2.39867671852628
31,509419735,Wegmans,37.94,38.49,37.94,37.39,37.94,0.38890872965260165
32,509419735,Whole Foods,1.99,41.99,47.39,30.456666666666667,30.45666666666667,17.536438254864258
33,736362595,Safeway,33.19,33.34,33.34,33.49,33.34,0.10606601717798363
34,736362595,Trader Joes,31.59,32.89,36.99,31.89,33.34,2.1615966321217295
35,736362595,Walmart,32.223333333333336,31.22,35.1,30.35,32.223333333333336,1.788244017651581
36,736362595,Wegmans,33.040000000000006,33.49,33.040000000000006,32.59,33.040000000000006,0.31819805153394587
37,736362595,Whole Foods,1.99,36.59,41.19,35.49,28.815,15.63431722205994
38,652377244,No Store,36.09,36.09,36.09,36.09,36.09,0.0
39,652377244,Safeway,31.69,31.84,31.84,31.99,31.84,0.10606601717798111
40,652377244,Trader Joes,30.49,30.49,30.49,30.49,30.49,0.0
41,652377244,Walmart,28.65,29.87,33.65,30.723333333333333,30.723333333333336,1.8433845683054488
42,652377244,Wegmans,30.79,31.99,31.289999999999996,31.09,31.289999999999996,0.44158804331639195
43,652377244,Whole Foods,1.99,34.89,18.44,18.44,18.44,11.631906550518707
44,277394644,Trader Joes,21.84,21.84,23.49,20.19,21.84,1.1667261889578024
45,277394644,Walmart,19.04,19.85,22.3,19.2,20.097499999999997,1.3072944389080836
46,277394644,Wegmans,20.49,21.29,20.823333333333334,20.69,20.82333333333333,0.29439202887759486
47,277394644,Whole Foods,22.49,22.49,22.49,22.49,22.49,0.0
48,996849471,No Store,12.09,12.09,12.09,12.09,12.09,0.0
49,996849471,Safeway,12.739999999999998,13.69,12.739999999999998,11.79,12.739999999999998,0.6717514421272203
50,996849471,Trader Joes,11.19,11.19,11.19,11.19,11.19,0.0
51,996849471,Walmart,11.333333333333334,11.04,12.32,10.64,11.333333333333334,0.6205374015050719
52,996849471,Wegmans,11.29,11.79,11.49,11.39,11.49,0.18708286933869686
53,996849471,Whole Foods,1.99,12.79,7.39,7.39,7.39,3.818376618407356
54,278354885,No Store,18.689999999999998,17.89,19.49,18.689999999999998,18.689999999999998,0.5656854249492372
55,278354885,Safeway,17.19,20.09,18.64,18.64,18.64,1.0253048327204934
56,278354885,Trader Joes,16.29,16.99,16.59,16.49,16.59,0.25495097567963904
57,278354885,Walmart,15.55,16.12,18.25,15.74,16.415,1.0791315953117115
58,278354885,Wegmans,16.69,17.29,16.923333333333336,16.79,16.923333333333332,0.22730302828309704
59,278354885,Whole Foods,1.99,18.89,21.29,14.056666666666667,14.056666666666667,7.437853633049434
60,215480572,No Store,16.99,16.99,16.99,16.99,16.99,0.0
61,215480572,Safeway,16.29,19.09,17.290000000000003,16.49,17.290000000000003,1.1045361017187265
62,215480572,Trader Joes,15.69,15.69,15.69,15.69,15.69,0.0
63,215480572,Walmart,14.75,15.35,17.35,14.93,15.595,1.0363758970566623
64,215480572,Wegmans,16.24,16.49,16.24,15.99,16.24,0.17677669529663625
65,215480572,Whole Foods,1.99,17.99,20.19,17.39,14.39,7.234638899074369
66,526069074,No Store,9.29,9.29,9.29,9.29,9.29,0.0
67,526069074,Safeway,8.89,8.89,8.89,8.89,8.89,0.0
68,526069074,Trader Joes,9.29,9.29,9.99,8.59,9.29,0.4949747468305834
69,526069074,Walmart,8.864999999999998,8.864999999999998,9.53,8.2,8.864999999999998,0.47022600948905413
70,526069074,Wegmans,8.89,8.99,8.89,8.79,8.89,0.07071067811865513
71,526069074,Whole Foods,1.99,9.79,11.09,7.623333333333332,7.623333333333333,3.480181987578619
72,265077864,Safeway,9.29,9.29,9.29,9.29,9.29,0.0
73,265077864,Trader Joes,8.89,9.19,9.023333333333333,8.99,9.023333333333333,0.10801234497346396
74,265077864,Walmart,8.45,8.85,9.94,8.5,8.935,0.6003540621999653
75,265077864,Wegmans,8.99,9.39,9.156666666666666,9.09,9.156666666666666,0.14719601443879762
76,265077864,Whole Foods,1.99,10.29,6.14,6.14,6.14,2.9344931419241718
77,627831552,Safeway,52.19,52.44,52.44,52.69,52.44,0.1767766952966369
78,627831552,Trader Joes,54.14,54.14,58.19,50.09,54.14,2.863782463805516
79,627831552,Walmart,47.17,49.05,55.21,47.52,49.7375,3.2376795317016778
80,627831552,Wegmans,50.59,52.69,51.49,51.19,51.49,0.764852927038916
81,627831552,Whole Foods,1.99,33.39,64.79,33.39,33.39,22.203152929257595
82,992105314,No Store,36.19,36.19,36.19,36.19,36.19,0.0
83,992105314,Safeway,37.94,40.79,37.94,35.09,37.94,2.015254326381659
84,992105314,Trader Joes,33.09,33.24,33.24,33.39,33.24,0.10606601717798111
85,992105314,Walmart,31.43,32.66,36.82,31.7,33.152499999999996,2.1662106891989987
86,992105314,Wegmans,33.69,35.09,34.29,34.09,34.29,0.5099019513592801
87,992105314,Whole Foods,1.99,38.29,20.14,20.14,20.14,12.833988078535837
88,39408244,No Store,60.49,60.49,60.49,60.49,60.49,0.0
89,39408244,Trader Joes,55.29,58.623333333333335,64.79,55.79,58.623333333333335,3.7804320740712547
90,39408244,Walmart,52.45,54.64,61.56,53.07,55.43000000000001,3.628050440663691
91,39408244,Wegmans,57.84,58.69,57.84,56.99,57.84,0.6010407640085639
92,39408244,Whole Foods,1.99,63.99,72.19,62.19,50.09,28.025167260874642
93,372268051,No Store,1.29,1.29,1.29,1.29,1.29,0.0
94,372268051,Safeway,1.19,1.19,1.19,1.19,1.19,0.0
95,372268051,Trader Joes,1.24,1.24,1.29,1.19,1.24,0.03535533905932741
96,372268051,Walmart,1.17,1.27,1.34,1.15,1.2325,0.07693341276714566
97,372268051,Wegmans,1.19,1.19,1.19,1.19,1.19,0.0
98,372268051,Whole Foods,1.3900000000000001,1.29,1.49,1.3900000000000001,1.3900000000000001,0.07071067811865474
99,375916960,No Store,32.94,31.49,34.39,32.94,32.94,1.0253048327204946
100,375916960,Safeway,30.19,30.19,30.19,30.19,30.19,0.0
101,375916960,Trader Joes,28.79,30.52333333333333,33.69,29.09,30.52333333333333,1.942077924972802
102,375916960,Walmart,27.33,28.45,32.01,27.66,28.8625,1.8622214556813586
103,375916960,Wegmans,29.39,30.59,29.89,29.69,29.89,0.44158804331639195
104,375916960,Whole Foods,1.99,23.956666666666667,37.59,32.29,23.956666666666667,13.581666564404632
105,742726716,Safeway,42.19,42.39,42.39,42.59,42.39,0.14142135623731153
106,742726716,Trader Joes,40.09,40.290000000000006,40.290000000000006,40.49,40.290000000000006,0.141421356237309
107,742726716,Walmart,38.12,39.63,44.76,40.836666666666666,40.836666666666666,2.4611413341510207
108,742726716,Wegmans,40.99,42.59,41.656666666666666,41.39,41.656666666666666,0.5887840577551905
109,742726716,Whole Foods,1.99,23.540000000000003,23.540000000000003,45.09,23.540000000000003,15.238151134570101
110,243131192,No Store,2.59,2.49,2.69,2.59,2.59,0.07071067811865465
111,243131192,Safeway,2.39,2.39,2.39,2.39,2.39,0.0
112,243131192,Trader Joes,2.29,2.39,2.3233333333333337,2.29,2.3233333333333337,0.04082482904638634
113,243131192,Walmart,2.22,2.32,2.65,2.23,2.355,0.1747140520965614
114,243131192,Wegmans,2.39,2.39,2.39,2.39,2.39,0.0
115,243131192,Whole Foods,2.84,2.69,2.99,2.84,2.84,0.10606601717798222
116,388544851,No Store,53.69,51.29,56.09,53.69,53.69,1.6970562748477156
117,388544851,Safeway,49.29,57.79,52.29,49.79,52.29,3.3726843908080104
118,388544851,Trader Joes,51.14,51.14,54.99,47.29,51.14,2.722361107568209
119,388544851,Walmart,47.803333333333335,46.32,52.15,44.94,47.803333333333335,2.706125766971422
120,388544851,Wegmans,49.04,49.79,49.04,48.29,49.04,0.5303300858899106
121,388544851,Whole Foods,1.99,54.29,28.14,28.14,28.14,18.49084232802822
122,905914857,No Store,47.99,47.99,47.99,47.99,47.99,0.0
123,905914857,Safeway,46.09,46.34,46.34,46.59,46.34,0.1767766952966369
124,905914857,Trader Joes,43.89,45.69,44.623333333333335,44.29,44.623333333333335,0.6683312551921131
125,905914857,Walmart,45.45,45.45,48.86,42.04,45.45,2.411234123846127
126,905914857,Wegmans,45.89,46.59,45.89,45.19,45.89,0.4949747468305853
127,905914857,Whole Foods,1.99,50.79,57.29,36.69,36.69,21.373230920944074
128,226080317,No Store,2.29,2.29,2.29,2.29,2.29,0.0
129,226080317,Safeway,1.99,2.04,2.04,2.09,2.04,0.03535533905932733
130,226080317,Trader Joes,1.99,1.99,1.99,1.99,1.99,0.0
131,226080317,Walmart,2.026666666666667,1.91,2.22,1.95,2.026666666666667,0.11923366415013292
132,226080317,Wegmans,1.99,2.09,2.0233333333333334,1.99,2.0233333333333334,0.04082482904638625
133,226080317,Whole Foods,1.99,1.99,1.99,1.99,1.99,0.0
134,502816606,Safeway,30.69,30.69,30.69,30.69,30.69,0.0
135,502816606,Trader Joes,28.89,29.04,29.04,29.19,29.04,0.10606601717798238
136,502816606,Walmart,27.4,28.55,32.2,29.383333333333336,29.383333333333333,1.772122080068603
137,502816606,Wegmans,30.240000000000002,30.69,30.240000000000002,29.79,30.240000000000002,0.31819805153394715
138,502816606,Whole Foods,1.99,33.49,17.740000000000002,17.740000000000002,17.740000000000002,11.136931803688125
139,986134213,Safeway,63.64,68.39,63.64,58.89,63.64,3.3587572106361008
140,986134213,Trader Joes,55.99,55.99,55.99,55.99,55.99,0.0
141,986134213,Walmart,52.64,54.74,61.77,53.14,55.572500000000005,3.661238690661947
142,986134213,Wegmans,56.59,58.89,57.55666666666667,57.19,57.55666666666667,0.8436033823229171
143,986134213,Whole Foods,1.99,64.19,72.39,62.29,50.215,28.100211298137953
144,714264288,No Store,16.29,16.29,16.29,16.29,16.29,0.0
145,714264288,Safeway,15.69,15.739999999999998,15.739999999999998,15.79,15.739999999999998,0.03535533905932725
146,714264288,Trader Joes,16.24,16.24,17.49,14.99,16.24,0.8838834764831838
147,714264288,Walmart,15.236666666666666,14.75,16.64,14.32,15.236666666666666,0.8727065180612936
148,714264288,Wegmans,15.59,15.79,15.59,15.39,15.59,0.141421356237309
149,714264288,Whole Foods,1.99,17.19,11.956666666666669,16.69,11.956666666666667,6.105871491168699
150,585091176,No Store,20.19,20.19,20.19,20.19,20.19,0.0
151,585091176,Safeway,19.39,19.39,19.39,19.39,19.39,0.0
152,585091176,Trader Joes,19.85666666666667,19.19,21.69,18.69,19.856666666666666,1.136515141415488
153,585091176,Walmart,17.51,18.2,20.64,17.76,18.5275,1.2444150232137183
154,585091176,Wegmans,18.89,19.59,19.156666666666666,18.99,19.156666666666666,0.2677063067368169
155,585091176,Whole Foods,1.99,21.39,14.723333333333334,20.79,14.723333333333333,7.800427338721044
